contentid,title,addr1,addr2,mapx,mapy,firstimage
3534570,꺼먹돼지,강원특별자치도 강릉시 경포로 47-7 (지변동),,128.8792259942,37.7724020582,
133930,꼭지네식당,강원특별자치도 강릉시 강동면 대동안길 15,,128.9779991025,37.7256705013,
3532895,꿀꺽,강원특별자치도 강릉시 해안로 292 (강문동),6호,128.9202106032,37.7913701078,
3533423,나라스시,강원특별자치도 강릉시 강릉대로313번길 20 (포남동),,128.9023935593,37.7656810650,
2891889,나봄,강원특별자치도 강릉시 강릉대로 198,뒷골목,128.8922724924,37.7578178886,http://tong.visitkorea.or.kr/cms/resource/64/2891864_image2_1.jpg
3536590,난설헌메밀촌,강원특별자치도 강릉시 난설헌로 105 (포남동),라동,128.9038289338,37.7852954912,
3537696,남북면옥,강원특별자치도 강릉시 주문진읍 신리천로 90,,128.8214694569,37.8825826198,
2685261,남산막국수,강원특별자치도 강릉시 강변로 222,,128.8930866098,37.7480579219,http://tong.visitkorea.or.kr/cms/resource/24/2684524_image2_1.jpg
2871268,남항진어촌식당,강원특별자치도 강릉시 공항길127번길 35-7,,128.9514529873,37.7670568639,http://tong.visitkorea.or.kr/cms/resource/59/2871259_image2_1.jpg
3532758,낭만포차,강원특별자치도 강릉시 강릉대로 435 (포남동),,128.9114064205,37.7726582118,
3532662,내마음에찜 강릉본점,강원특별자치도 강릉시 경강로 2107 (임당동),1층,128.8965943876,37.7557820972,
3532949,넉살집,강원특별자치도 강릉시 솔올로5번길 51 (교동),,128.8770014492,37.7641862993,
3535277,노래곡막국수,강원특별자치도 강릉시 남부로 54-6 (내곡동),,128.8861680405,37.7398865104,
3536895,노브랜드버거 강릉송정DI점,강원특별자치도 강릉시 경강로 2518 (송정동),,128.9342598850,37.7737029816,
3536831,다경횟집,강원특별자치도 강릉시 주문진읍 신리천로 11-1,,128.8289436783,37.8859268228,
3532991,다모아식당,강원특별자치도 강릉시 해안로 298-5 (강문동),,128.9193634337,37.7921227817,
3536440,다이닝조개,강원특별자치도 강릉시 해안로 280 (강문동),4호,128.9209633368,37.7906007670,
3535713,단오길설렁탕,강원특별자치도 강릉시 남산초교길11번길 11 (내곡동),1층,128.8912812521,37.7469191299,
3536756,달리는커피 포남점,강원특별자치도 강릉시 강릉대로 337-5 (포남동),,128.9037212006,37.7662338052,
3536481,대게왕국,강원특별자치도 강릉시 주문진읍 해안로 1789-1,,128.8302988442,37.8945425171,
3535596,대관령옛길127,강원특별자치도 강릉시 성산면 대관령옛길 127,,128.7968436456,37.7109186795,
2871315,대동면옥,강원특별자치도 강릉시 연주로 438,,128.8247216706,37.8912872302,http://tong.visitkorea.or.kr/cms/resource/02/2871302_image2_1.jpg
2871297,대동면옥 강릉점,강원특별자치도 강릉시 종합운동장길 26-8,,128.8910859917,37.7738632316,http://tong.visitkorea.or.kr/cms/resource/78/2871278_image2_1.jpg
3532635,대찬맛집,강원특별자치도 강릉시 주문진읍 시장길 55-1,,128.8275852549,37.8927815571,
3535798,대청감자탕 내곡점,강원특별자치도 강릉시 범일로 631 (내곡동),,128.8818905346,37.7435610020,
2913306,댕댕클럽,강원특별자치도 강릉시 사임당로 141 4층,,128.8654888085,37.7573507540,http://tong.visitkorea.or.kr/cms/resource/76/2919676_image2_1.jpg
3534346,더카페 강릉중앙점,강원특별자치도 강릉시 중앙시장2길 19 (성남동),,128.8971333263,37.7526241399,
2928847,도깨비시장,강원특별자치도 강릉시 학교담길 32-8,,128.8317074559,37.8814829471,http://tong.visitkorea.or.kr/cms/resource/68/2928268_image2_1.JPG
2820641,도깨비젤라또,강원특별자치도 강릉시 해안로 1605,,128.8337851075,37.8795082163,http://tong.visitkorea.or.kr/cms/resource/41/3586741_image2_1.jpg
